country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
Japan,Ansatsu Kyoushitsu,Japan,Asia,Asia,Character,284,17,14,31,2.214285714,3,10.91549296,0.049295775,0.10915493,0.007796781,0.01056338
Japan,Ao no Exorcist,Japan,Asia,Asia,Character,336,88,65,153,2.353846154,4,45.53571429,0.193452381,0.455357143,0.007005495,0.011904762
Japan,Ashi-Girl,Japan,Asia,Asia,Character,192,38,32,70,2.1875,4,36.45833333,0.166666667,0.364583333,0.011393229,0.020833333
Japan,Assassination Classroom,Japan,Asia,Asia,Character,189,34,21,55,2.619047619,5,29.1005291,0.111111111,0.291005291,0.013857395,0.026455026
Japan,Attack on Titan,Japan,Asia,Asia,Character,90,13,8,21,2.625,4,23.33333333,0.088888889,0.233333333,0.029166667,0.044444444
Japan,Baby and Me,Japan,Asia,Asia,Character,198,36,18,54,3,5,27.27272727,0.090909091,0.272727273,0.015151515,0.025252525
Japan,Baby Steps,Japan,Asia,Asia,Character,89,26,14,40,2.857142857,5,44.94382022,0.157303371,0.449438202,0.032102729,0.056179775
Japan,Beelzebub,Japan,Asia,Asia,Character,191,39,25,64,2.56,5,33.5078534,0.130890052,0.335078534,0.013403141,0.02617801
Japan,Big Windup!,Japan,Asia,Asia,Character,93,23,15,38,2.533333333,4,40.86021505,0.161290323,0.408602151,0.027240143,0.043010753
Japan,Billy Bat,Japan,Asia,Asia,Character,99,29,17,46,2.705882353,7,46.46464646,0.171717172,0.464646465,0.027332145,0.070707071
Japan,Bleach,Japan,Asia,Asia,Character,283,72,42,114,2.714285714,6,40.28268551,0.148409894,0.402826855,0.009591116,0.021201413
Japan,Blue Something,Japan,Asia,Asia,Character,254,48,38,86,2.263157895,4,33.85826772,0.149606299,0.338582677,0.00891007,0.015748031
Japan,Bread & Butter,Japan,Asia,Asia,Character,296,59,47,106,2.255319149,5,35.81081081,0.158783784,0.358108108,0.007619321,0.016891892
Japan,Cage of Eden,Japan,Asia,Asia,Character,293,17,17,34,2,2,11.60409556,0.058020478,0.116040956,0.006825939,0.006825939
Japan,Captain Tsubasa,Japan,Asia,Asia,Character,80,19,11,30,2.727272727,5,37.5,0.1375,0.375,0.034090909,0.0625
Japan,Chairman Shima Kosaku,Japan,Asia,Asia,Character,126,13,8,21,2.625,6,16.66666667,0.063492063,0.166666667,0.020833333,0.047619048
Japan,Claymore,Japan,Asia,Asia,Character,285,50,45,95,2.111111111,3,33.33333333,0.157894737,0.333333333,0.007407407,0.010526316
Japan,Clover: Trefle,Japan,Asia,Asia,Character,198,48,24,72,3,7,36.36363636,0.121212121,0.363636364,0.015151515,0.035353535
Japan,Crimson Hero,Japan,Asia,Asia,Character,203,17,16,33,2.0625,3,16.25615764,0.078817734,0.162561576,0.010160099,0.014778325
Japan,D.N. Angel,Japan,Asia,Asia,Character,61,31,9,40,4.444444444,10,65.57377049,0.147540984,0.655737705,0.072859745,0.163934426
Japan,Dolly Kanon,Japan,Asia,Asia,Character,293,37,32,69,2.15625,4,23.54948805,0.109215017,0.235494881,0.007359215,0.013651877
Japan,Dragon Ball,Japan,Asia,Asia,Character,55,14,10,24,2.4,3,43.63636364,0.181818182,0.436363636,0.043636364,0.054545455
Japan,Fairy Tail,Japan,Asia,Asia,Character,426,75,41,116,2.829268293,7,27.23004695,0.096244131,0.272300469,0.006641475,0.016431925
Japan,Gangoose,Japan,Asia,Asia,Character,204,48,24,72,3,11,35.29411765,0.117647059,0.352941176,0.014705882,0.053921569
Japan,Giant Killing,Japan,Asia,Asia,Character,194,16,12,28,2.333333333,4,14.43298969,0.06185567,0.144329897,0.012027491,0.020618557
Japan,Gintama,Japan,Asia,Asia,Character,212,50,21,71,3.380952381,8,33.49056604,0.099056604,0.33490566,0.015947889,0.037735849
Japan,Gurazeni,Japan,Asia,Asia,Character,238,19,16,35,2.1875,3,14.70588235,0.067226891,0.147058824,0.009191176,0.012605042
Japan,Haikyu!!,Japan,Asia,Asia,Character,121,33,18,51,2.833333333,5,42.14876033,0.148760331,0.421487603,0.023415978,0.041322314
Japan,Haikyuu!!,Japan,Asia,Asia,Character,203,25,21,46,2.19047619,3,22.66009852,0.103448276,0.226600985,0.010790523,0.014778325
Japan,Hikaru No Go,Japan,Asia,Asia,Character,106,45,18,63,3.5,12,59.43396226,0.169811321,0.594339623,0.033018868,0.113207547
Japan,History's Strongest Disciple Keichi,Japan,Asia,Asia,Character,198,23,23,46,2,2,23.23232323,0.116161616,0.232323232,0.01010101,0.01010101
Japan,HunterXHunter,Japan,Asia,Asia,Character,101,35,17,52,3.058823529,8,51.48514851,0.168316832,0.514851485,0.030285381,0.079207921
Japan,Ihoujin,Japan,Asia,Asia,Character,250,42,28,70,2.5,6,28,0.112,0.28,0.01,0.024
Japan,Iromen ~Juunintoiro~,Japan,Asia,Asia,Character,165,38,20,58,2.9,6,35.15151515,0.121212121,0.351515152,0.017575758,0.036363636
Japan,Kakukaku Shikajika,Japan,Asia,Asia,Character,198,54,35,89,2.542857143,4,44.94949495,0.176767677,0.449494949,0.012842713,0.02020202
Japan,Kimi No Iru Machi,Japan,Asia,Asia,Character,182,18,15,33,2.2,3,18.13186813,0.082417582,0.181318681,0.012087912,0.016483516
Japan,Kimi wa Sora no Subete,Japan,Asia,Asia,Character,305,78,41,119,2.902439024,12,39.01639344,0.13442623,0.390163934,0.009516194,0.039344262
Japan,Kocchi Muite! Miiko,Japan,Asia,Asia,Character,152,8,7,15,2.142857143,3,9.868421053,0.046052632,0.098684211,0.014097744,0.019736842
Japan,Kou no Dori,Japan,Asia,Asia,Character,198,15,11,26,2.363636364,3,13.13131313,0.055555556,0.131313131,0.011937557,0.015151515
Japan,Kuroko no Basket,Japan,Asia,Asia,Character,84,27,10,37,3.7,9,44.04761905,0.119047619,0.44047619,0.044047619,0.107142857
Japan,Kuroko's Basketball,Japan,Asia,Asia,Character,193,15,14,29,2.071428571,3,15.02590674,0.07253886,0.150259067,0.010732791,0.015544041
Japan,Kyo wa Kaisha Yasumimasu,Japan,Asia,Asia,Character,194,38,30,68,2.266666667,4,35.05154639,0.154639175,0.350515464,0.011683849,0.020618557
Japan,love?com,Japan,Asia,Asia,Character,316,65,43,108,2.511627907,6,34.17721519,0.136075949,0.341772152,0.00794819,0.018987342
Japan,Magi: The Labyrinth of Magic,Japan,Asia,Asia,Character,235,26,15,41,2.733333333,9,17.44680851,0.063829787,0.174468085,0.011631206,0.038297872
Japan,Marmalade Boy Little,Japan,Asia,Asia,Character,248,39,32,71,2.21875,5,28.62903226,0.129032258,0.286290323,0.008946573,0.02016129
Japan,Moment -Eien no Isshun,Japan,Asia,Asia,Character,296,57,32,89,2.78125,6,30.06756757,0.108108108,0.300675676,0.009396115,0.02027027
Japan,Nana,Japan,Asia,Asia,Character,100,31,17,48,2.823529412,5,48,0.17,0.48,0.028235294,0.05
Japan,Naruto,Japan,Asia,Asia,Character,315,84,46,130,2.826086957,11,41.26984127,0.146031746,0.412698413,0.008971705,0.034920635
Japan,Nisekoi,Japan,Asia,Asia,Character,321,45,34,79,2.323529412,3,24.6105919,0.105919003,0.246105919,0.007238409,0.009345794
Japan,One Piece,Japan,Asia,Asia,Character,308,52,34,86,2.529411765,4,27.92207792,0.11038961,0.279220779,0.008212376,0.012987013
Japan,One Punch-Man,Japan,Asia,Asia,Character,192,47,32,79,2.46875,4,41.14583333,0.166666667,0.411458333,0.012858073,0.020833333
Japan,Oyasumi Memories,Japan,Asia,Asia,Character,282,60,38,98,2.578947368,6,34.75177305,0.134751773,0.34751773,0.009145203,0.021276596
