country_OEL;fulltitle;Situational;Averagelength;Proportion
Belgium/Flanders;Jan Zonder Vrees;Spatial location;6.95;92.05298013
Belgium/Flanders;Jerom - De bronzen kabouter;Spatial location;4.161290323;86
Belgium/Flanders;Jommeke - Het piepend bed;Spatial location;8;98.7012987
Belgium/Flanders;K3 - De hoed van Ya Ya Yippee;Spatial location;11.61538462;98.05194805
Belgium/Flanders;Kari Lente & Co;Spatial location;6.947368421;88
Belgium/Flanders;Meesterwerken in Beeld - Robinson Crusoë;Spatial location;4.529411765;84.61538462
Belgium/Flanders;Otto - Op hete kolen;Spatial location;5.653846154;98
Belgium/Flanders;Piet Pienter en Bert Bibber - Invasie uit het heelal;Spatial location;4.740740741;80
Belgium/Flanders;Samson & Gert - De Vliegsiroop;Spatial location;5.583333333;87.58169935
Belgium/Flanders;Sloeber - Het Komplot;Spatial location;7.095238095;94.9044586
Belgium/Flanders;Suske en Wiske - De Poenschepper;Spatial location;5.518518519;92.54658385
Belgium/Flanders;Suske en Wiske - De snorrende snor;Spatial location;6.217391304;90.50632911
Belgium/Flanders;Suske en Wiske - De sprietatoom;Spatial location;7.684210526;93.58974359
Belgium/Flanders;Suske en Wiske - Het geheim van de Kalmhoutse heide;Spatial location;5.72;91.66666667
Belgium/Flanders;Suske en Wiske - Op het eiland Amoras;Spatial location;5.826086957;88.15789474
Belgium/Flanders;Suske en Wiske - Rikki en Wiske;Spatial location;5.48;90.13157895
Belgium/Flanders;Thomas Pips - De rode Heks;Spatial location;7.615384615;96.42857143
Belgium/Flanders;W817 - Een keivet akke-fietje;Spatial location;8.058823529;90.13157895
Belgium/Flanders;Waterland - Onweer;Spatial location;9.615384615;91.24087591
Belgium/Flanders;Weer over naar jou;Spatial location;8.3125;86.36363636
Belgium/Flanders;Willeke - De draak van Kokoluput;Spatial location;10.77777778;95.72368421
China;1/2 Prince;Spatial location;13.71428571;96
China;Divine Melody;Spatial location;7.4;77.89473684
China;Heaven Sword and Dragon Sabre  - The King of Gold Lion-Zhune Shai;Spatial location;4.266666667;39.7515528
China;Mega Dragon & Tiger Future Kung Fu Action;Spatial location;4.344827586;82.35294118
China;Saint Legend;Spatial location;6.974358974;86.62420382
China;SNK vs. Capcom: SVC Chaos;Spatial location;15.88888889;95.33333333
China;Storm Riders;Spatial location;9.448275862;92.88135593
China;SVC Chaos: SNK vs Capcom ;Spatial location;10.25;93.18181818
China;The King of Fighters;Spatial location;11.61538462;95.56962025
China;The King of Fighters: 2003;Spatial location;12.53846154;99.3902439
China;Tiger x Crane Record of the Demon Master;Spatial location;16;39.66942149
China;Xiewang Lin Jie;Spatial location;11.13333333;97.94721408
China;Yin Zhi Shoumuren (Silver Gravekeeper);Spatial location;8.125;90.27777778
France;Abélard - Une brève histoire de poussière et de cendre;Spatial location;6.214285714;95.6043956
France;Alter Ego;Spatial location;6.380952381;85.8974359
France;Catman - Une aventure de Cliff Burton;Spatial location;4.016666667;77.74193548
France;Child of the Storm;Spatial location;7.037037037;94.05940594
France;Donjon - La Fin du Donjon;Spatial location;9.314814815;92.46323529
France;Final Incal;Spatial location;4.632352941;76.82926829
France;La Vie En Rose - La Dernière Pluie;Spatial location;4.952380952;68.87417219
France;La Voyageuse de Petite Ceinture;Spatial location;5.421052632;67.32026144
France;Le Cahier à Fleurs - Mauvaise Orchestration;Spatial location;4.559322034;87.90849673
France;Le Muret;Spatial location;7;76.71232877
France;Le Soldat;Spatial location;8;95.65217391
France;LoRaNnE - Frisco;Spatial location;6.023809524;79.55974843
France;Marsupilami: Sur la piste du Marsupilami;Spatial location;5.632911392;84.12098299
